"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ARROZ RÁRIS INTEGRAL LONGO FINO TIPO 1 1KG",178,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/08eb0507-290a-4218-a651-a287970bdc93.jpg",8.79,7,"1654631175.041105"
"FEIJÃO CARIOCA ORGÂNICO KORIN 500G",179,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/korinfeijaocariocaorg500g216.jpg",16.49,0,"1654631176.066508"
"ARROZ INTEGRAL PANTERA 1KG",181,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/e3479890-1e07-4b84-b4a8-95135d3a261e.jpg",6.19,4,"1654631184.419975"
"ARROZ LONGO FINO TIPO 1 PANTERA 1KG",182,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ae9661e3-8b88-44da-869a-c2ddbaa8e7cc.jpg",6.19,4,"1654631185.501778"
"ARROZ LONGO FINO TIPO 1 PANTERA 5KG",183,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/fd4ae1ce-4f77-4b6a-8908-a048cfe3b990.jpg",25.99,0,"1654631186.517784"
"FEIJÃO PRETO PANTERA 1KG",184,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/7e560b6a-28de-481a-87ff-ff8a7aca4888.jpg",9.59,5,"1654631189.740405"
"FEIJÃO BRANCO BONDUELLE LATA 400G",185,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/BONDUELLEFEIJAO236.jpg",18.99,26,"1654631190.753985"
"ARROZ 15 MINUTOS BLUE VILLE COM CHAMPIGNON 250G",186,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZCHAMPIGNON576.jpg",5.19,0,"1654631191.765422"
"ARROZ 15 MINUTOS BLUE VILLE COM FRANGO E TOMATE 250G",187,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZFRANGOCTOMATE576.jpg",5.29,0,"1654631199.031903"
"FEIJÃO CARIOCA ORGÂNICO VAPZA 250G",188,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/FEIJAOCARIOCAORG349.jpg",7.89,14,"1654631206.219294"
"ARROZ AROMÁTICO BLUE VILLE THAI JASMIN 1KG",189,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/bluevillethaijasmim875.jpg",12.99,0,"1654631207.307065"
"ARROZ INTEGRAL BLUE VILLE CATETO 1KG",190,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZCATETO576.jpg",10.49,0,"1654631212.456164"
"ARROZ INTEGRAL BLUE VILLE SAQUINHOS DE 125G",191,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZINTEGRALSAQUINHO576.jpg",5.49,0,"1654631217.596757"
"ARROZ MULTICEREAIS BLUE VILLE INTEGRALLE 1KG",192,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/bluevillemultic1kg748.jpg",8.99,0,"1654631222.718577"
